time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timeUTC
1704052800,42652.37,42489.18,42596.05,937.75,39915682.79,42536.89,direct,,2024-01-01 00:00:00
1704056400,42641.95,42495.53,42536.89,954.82,40648345.02,42498.95,direct,,2024-01-01 01:00:00
1704060000,42565.48,42100.71,42498.95,1266.98,53672327.53,42255.0,direct,,2024-01-01 02:00:00
1704063600,42332.22,42073.23,42255.0,1254.46,52943400.72,42280.14,direct,,2024-01-01 03:00:00
1704067200,42538.35,42260.53,42280.14,851.57,36119537.58,42458.92,direct,,2024-01-01 04:00:00
1704070800,42748.66,42421.27,42458.92,785.95,33471846.3,42599.81,direct,,2024-01-01 05:00:00
1704074400,42624.55,42491.87,42599.81,453.55,19298984.86,42573.4,direct,,2024-01-01 06:00:00
1704078000,42579.9,42244.05,42573.4,655.03,27763408.94,42329.02,direct,,2024-01-01 07:00:00
1704081600,42391.93,42211.99,42329.02,601.85,25462986.88,42391.93,direct,,2024-01-01 08:00:00
1704085200,42397.54,42187.32,42391.93,414.84,17548921.42,42230.74,direct,,2024-01-01 09:00:00
1704088800,42425.85,42205.31,42230.74,506.27,21440684.62,42399.94,direct,,2024-01-01 10:00:00
1704092400,42511.8,42397.3,42399.94,660.13,28035171.62,42491.37,direct,,2024-01-01 11:00:00
1704096000,42554.09,42454.5,42491.37,338.6,14391424.9,42550.23,direct,,2024-01-01 12:00:00
1704099600,42689.29,42536.93,42550.23,374.59,15964055.08,42646.97,direct,,2024-01-01 13:00:00
1704103200,42749.78,42629.06,42646.97,386.27,16488401.85,42689.33,direct,,2024-01-01 14:00:00
1704106800,42761.18,42603.62,42689.33,353.17,15076617.41,42687.56,direct,,2024-01-01 15:00:00
1704110400,42770.96,42614.46,42687.56,401.63,17147670.12,42651.15,direct,,2024-01-01 16:00:00
1704114000,42746.23,42614.09,42651.15,302.18,12902812.91,42719.44,direct,,2024-01-01 17:00:00
1704117600,42722.97,42586.77,42719.44,609.42,25984533.18,42626.4,direct,,2024-01-01 18:00:00
1704121200,42848.15,42597.41,42626.4,764.61,32660093.38,42791.25,direct,,2024-01-01 19:00:00
1704124800,42863.18,42676.87,42791.25,822.88,35195846.84,42734.78,direct,,2024-01-01 20:00:00
1704128400,42836.99,42717.98,42734.78,534.96,22879483.93,42825.56,direct,,2024-01-01 21:00:00
1704132000,43213.45,42825.31,42825.56,1773.66,76383749.42,43118.02,direct,,2024-01-01 22:00:00
1704135600,43557.27,43110.31,43118.02,1553.31,67320310.0,43534.82,direct,,2024-01-01 23:00:00
1704139200,43836.66,43529.76,43534.82,1678.42,73344358.68,43696.55,direct,,2024-01-02 00:00:00
1704142800,43793.85,43485.43,43696.55,843.95,36837966.79,43627.73,direct,,2024-01-02 01:00:00
1704146400,43666.82,43401.04,43627.73,583.98,25414725.66,43540.56,direct,,2024-01-02 02:00:00
1704150000,44210.89,43540.56,43540.56,3248.75,142760616.3,44197.61,direct,,2024-01-02 03:00:00
1704153600,45229.01,44181.86,44197.61,6418.96,287034617.86,45086.88,direct,,2024-01-02 04:00:00
1704157200,45395.97,44719.99,45086.88,3467.66,156207354.29,44889.32,direct,,2024-01-02 05:00:00
1704160800,45452.14,44887.82,44889.32,3600.51,162621339.74,45445.64,direct,,2024-01-02 06:00:00
1704164400,45553.7,45176.21,45445.64,3459.61,157006136.81,45447.68,direct,,2024-01-02 07:00:00
1704168000,45508.71,45207.75,45447.68,1453.27,65898963.03,45219.05,direct,,2024-01-02 08:00:00
1704171600,45363.32,45155.36,45219.05,960.56,43478937.82,45210.37,direct,,2024-01-02 09:00:00
1704175200,45342.15,45165.78,45210.37,1013.37,45874711.78,45205.49,direct,,2024-01-02 10:00:00
1704178800,45647.27,45205.41,45205.49,2261.36,102742817.5,45499.89,direct,,2024-01-02 11:00:00
1704182400,45891.71,45379.85,45499.89,2011.17,91925524.27,45804.66,direct,,2024-01-02 12:00:00
1704186000,45918.98,45670.7,45804.66,1438.0,65850143.16,45714.72,direct,,2024-01-02 13:00:00
1704189600,45746.11,45480.71,45714.72,1088.18,49648644.94,45615.35,direct,,2024-01-02 14:00:00
1704193200,45732.87,45249.13,45615.35,1721.59,78307024.5,45473.97,direct,,2024-01-02 15:00:00
1704196800,45629.08,45317.22,45473.97,1624.1,73827698.28,45338.26,direct,,2024-01-02 16:00:00
1704200400,45742.22,45307.8,45338.26,2087.91,95179511.67,45687.54,direct,,2024-01-02 17:00:00
1704204000,45854.03,45067.68,45687.54,3636.06,165501002.77,45301.49,direct,,2024-01-02 18:00:00
1704207600,45361.79,44872.54,45301.49,3929.12,177433278.41,45229.82,direct,,2024-01-02 19:00:00
1704211200,45426.85,44923.61,45229.82,2305.54,104194428.94,45392.83,direct,,2024-01-02 20:00:00
1704214800,45414.47,44985.02,45392.83,2032.38,91841701.74,44998.78,direct,,2024-01-02 21:00:00
1704218400,45284.79,44971.31,44998.78,1907.58,86044955.81,45172.28,direct,,2024-01-02 22:00:00
