time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timeUTC
1704052800,2293.78,2279.56,2293.78,10243.15,23397721.57,2281.33,direct,,2024-01-01 00:00:00
1704056400,2291.53,2279.14,2281.33,7463.06,17060288.73,2281.98,direct,,2024-01-01 01:00:00
1704060000,2292.85,2259.29,2281.98,10383.25,23661035.94,2274.24,direct,,2024-01-01 02:00:00
1704063600,2284.1,2271.87,2274.24,10998.47,25063193.32,2281.36,direct,,2024-01-01 03:00:00
1704067200,2296.46,2280.6,2281.36,10946.21,25063878.94,2294.7,direct,,2024-01-01 04:00:00
1704070800,2305.52,2292.07,2294.7,6726.46,15470849.18,2302.73,direct,,2024-01-01 05:00:00
1704074400,2303.62,2290.95,2302.73,5183.21,11904795.66,2292.66,direct,,2024-01-01 06:00:00
1704078000,2294.11,2270.82,2292.66,9089.21,20730704.34,2273.61,direct,,2024-01-01 07:00:00
1704081600,2279.12,2265.26,2273.61,8897.47,20229940.29,2279.09,direct,,2024-01-01 08:00:00
1704085200,2282.83,2272.53,2279.09,6828.54,15553869.97,2275.66,direct,,2024-01-01 09:00:00
1704088800,2283.36,2274.04,2275.66,5260.56,11982298.47,2281.89,direct,,2024-01-01 10:00:00
1704092400,2287.85,2281.63,2281.89,3791.47,8661397.79,2284.32,direct,,2024-01-01 11:00:00
1704096000,2287.05,2280.02,2284.32,3808.68,8697757.74,2286.94,direct,,2024-01-01 12:00:00
1704099600,2299.77,2286.74,2286.94,5159.12,11831272.68,2299.73,direct,,2024-01-01 13:00:00
1704103200,2303.01,2297.92,2299.73,6625.79,15248723.62,2302.08,direct,,2024-01-01 14:00:00
1704106800,2305.09,2299.14,2302.08,4080.71,9395181.6,2304.36,direct,,2024-01-01 15:00:00
1704110400,2306.75,2299.16,2304.36,4655.93,10721841.6,2299.52,direct,,2024-01-01 16:00:00
1704114000,2308.26,2298.17,2299.52,3767.39,8681009.21,2304.7,direct,,2024-01-01 17:00:00
1704117600,2304.97,2295.4,2304.7,6173.56,14205537.5,2301.33,direct,,2024-01-01 18:00:00
1704121200,2317.88,2299.78,2301.33,8371.77,19332279.65,2315.15,direct,,2024-01-01 19:00:00
1704124800,2319.2,2306.68,2315.15,9773.93,22609103.63,2310.01,direct,,2024-01-01 20:00:00
1704128400,2317.13,2306.49,2310.01,7121.39,16472166.6,2314.01,direct,,2024-01-01 21:00:00
1704132000,2332.07,2314.01,2314.01,14547.41,33849327.78,2327.46,direct,,2024-01-01 22:00:00
1704135600,2341.3,2322.5,2327.46,10046.9,23427487.6,2337.74,direct,,2024-01-01 23:00:00
1704139200,2348.97,2336.08,2337.74,10308.26,24148022.65,2341.37,direct,,2024-01-02 00:00:00
1704142800,2346.8,2332.67,2341.37,6632.76,15514205.92,2338.33,direct,,2024-01-02 01:00:00
1704146400,2339.62,2324.08,2338.33,4918.12,11469733.83,2334.45,direct,,2024-01-02 02:00:00
1704150000,2352.66,2334.41,2334.45,11571.33,27142618.89,2352.65,direct,,2024-01-02 03:00:00
1704153600,2392.66,2348.27,2352.65,26429.06,62724489.14,2388.94,direct,,2024-01-02 04:00:00
1704157200,2398.59,2371.72,2388.94,15212.65,36282050.33,2378.8,direct,,2024-01-02 05:00:00
1704160800,2383.87,2374.92,2378.8,11280.01,26819452.15,2383.82,direct,,2024-01-02 06:00:00
1704164400,2390.13,2373.31,2383.82,12242.99,29144866.62,2388.02,direct,,2024-01-02 07:00:00
1704168000,2391.47,2380.63,2388.02,9398.99,22414076.27,2389.29,direct,,2024-01-02 08:00:00
1704171600,2393.59,2379.14,2389.29,7919.36,18904397.67,2379.43,direct,,2024-01-02 09:00:00
1704175200,2385.34,2375.89,2379.43,8834.46,21032382.21,2375.94,direct,,2024-01-02 10:00:00
1704178800,2390.49,2375.81,2375.94,8970.01,21383866.59,2387.87,direct,,2024-01-02 11:00:00
1704182400,2432.62,2381.85,2387.87,20410.0,49241166.07,2428.35,direct,,2024-01-02 12:00:00
1704186000,2430.17,2414.09,2428.35,14136.96,34242544.9,2415.73,direct,,2024-01-02 13:00:00
1704189600,2417.93,2394.89,2415.73,11245.37,27059959.95,2400.28,direct,,2024-01-02 14:00:00
1704193200,2404.34,2383.13,2400.28,9446.92,22631823.23,2392.63,direct,,2024-01-02 15:00:00
1704196800,2405.94,2384.68,2392.63,11735.95,28118201.91,2388.34,direct,,2024-01-02 16:00:00
