time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timeUTC
1704052800,1.006,0.9837,1.006,1897132.4,1890969.03,0.9851,direct,,2024-01-01 00:00:00
1704056400,0.9975,0.9849,0.9851,643212.17,637332.57,0.9873,direct,,2024-01-01 01:00:00
1704060000,0.9887,0.9553,0.9873,2290509.41,2223170.29,0.9661,direct,,2024-01-01 02:00:00
1704063600,0.9743,0.9656,0.9661,1693624.14,1642594.09,0.9703,direct,,2024-01-01 03:00:00
1704067200,0.9842,0.968,0.9703,1269876.83,1238713.82,0.9832,direct,,2024-01-01 04:00:00
1704070800,0.9917,0.9794,0.9832,994135.63,978499.43,0.9912,direct,,2024-01-01 05:00:00
1704074400,0.9919,0.9816,0.9912,379436.44,374157.56,0.9826,direct,,2024-01-01 06:00:00
1704078000,0.9835,0.9627,0.9826,662569.16,643706.78,0.9679,direct,,2024-01-01 07:00:00
1704081600,0.9718,0.9602,0.9679,600863.76,579513.45,0.9659,direct,,2024-01-01 08:00:00
1704085200,0.9685,0.9566,0.9659,1269824.87,1219130.41,0.9587,direct,,2024-01-01 09:00:00
1704088800,0.9656,0.9557,0.9587,1019163.74,978894.06,0.965,direct,,2024-01-01 10:00:00
1704092400,0.968,0.9607,0.965,457680.56,441310.24,0.968,direct,,2024-01-01 11:00:00
1704096000,0.9779,0.9655,0.968,317322.98,308169.77,0.9767,direct,,2024-01-01 12:00:00
1704099600,0.9854,0.9739,0.9767,393051.4,385210.31,0.9851,direct,,2024-01-01 13:00:00
1704103200,0.9854,0.9808,0.9851,295765.32,291095.03,0.984,direct,,2024-01-01 14:00:00
1704106800,0.993,0.984,0.984,428326.16,423329.86,0.9882,direct,,2024-01-01 15:00:00
1704110400,0.9962,0.9882,0.9882,312244.17,310298.3,0.9954,direct,,2024-01-01 16:00:00
1704114000,0.9989,0.9867,0.9954,1706759.06,1688900.16,0.9903,direct,,2024-01-01 17:00:00
1704117600,0.9905,0.9803,0.9903,649032.89,638659.28,0.9843,direct,,2024-01-01 18:00:00
1704121200,0.9979,0.9834,0.9843,1102311.48,1092339.56,0.9956,direct,,2024-01-01 19:00:00
1704124800,1.0,0.9897,0.9956,1331099.81,1324349.85,0.9901,direct,,2024-01-01 20:00:00
1704128400,0.9932,0.9852,0.9901,1791292.46,1772596.26,0.9911,direct,,2024-01-01 21:00:00
1704132000,1.005,0.9911,0.9911,1823992.28,1824439.84,1.001,direct,,2024-01-01 22:00:00
1704135600,1.008,0.9978,1.001,1618234.5,1621809.0,1.006,direct,,2024-01-01 23:00:00
1704139200,1.019,1.004,1.006,3342697.71,3378237.12,1.007,direct,,2024-01-02 00:00:00
1704142800,1.009,1.001,1.007,1138287.02,1143139.27,1.006,direct,,2024-01-02 01:00:00
1704146400,1.012,0.9951,1.006,1613045.26,1619121.08,1.011,direct,,2024-01-02 02:00:00
1704150000,1.018,1.011,1.011,1045757.75,1060505.11,1.016,direct,,2024-01-02 03:00:00
1704153600,1.02,1.007,1.016,2252641.63,2285284.1,1.019,direct,,2024-01-02 04:00:00
1704157200,1.022,1.007,1.019,2926519.44,2974666.63,1.01,direct,,2024-01-02 05:00:00
1704160800,1.017,1.008,1.01,1727469.91,1748781.71,1.016,direct,,2024-01-02 06:00:00
1704164400,1.021,1.014,1.016,1297054.04,1319493.55,1.02,direct,,2024-01-02 07:00:00
1704168000,1.022,1.015,1.02,1132836.29,1153221.24,1.02,direct,,2024-01-02 08:00:00
1704171600,1.022,1.012,1.02,1352111.37,1376897.34,1.012,direct,,2024-01-02 09:00:00
1704175200,1.016,1.009,1.012,778756.75,788181.7,1.014,direct,,2024-01-02 10:00:00
1704178800,1.017,1.011,1.014,859587.65,871645.58,1.012,direct,,2024-01-02 11:00:00
1704182400,1.029,1.009,1.012,1192670.18,1217303.19,1.024,direct,,2024-01-02 12:00:00
1704186000,1.033,1.022,1.024,1203788.02,1237458.27,1.023,direct,,2024-01-02 13:00:00
1704189600,1.023,1.012,1.023,1310911.58,1330264.21,1.015,direct,,2024-01-02 14:00:00
1704193200,1.021,1.01,1.015,877979.87,891333.99,1.013,direct,,2024-01-02 15:00:00
1704196800,1.013,1.001,1.013,1573841.13,1588187.15,1.001,direct,,2024-01-02 16:00:00
1704200400,1.006,0.9963,1.001,1215473.4,1219040.18,1.004,direct,,2024-01-02 17:00:00
1704204000,1.007,0.9749,1.004,1956441.24,1934333.26,0.9817,direct,,2024-01-02 18:00:00
1704207600,0.9879,0.9732,0.9817,1887017.68,1851923.69,0.9839,direct,,2024-01-02 19:00:00
1704211200,0.9874,0.9743,0.9839,1821355.27,1786707.72,0.9874,direct,,2024-01-02 20:00:00
1704214800,0.9879,0.9772,0.9874,1362158.79,1338168.83,0.9796,direct,,2024-01-02 21:00:00
1704218400,0.9822,0.9736,0.9796,1282019.73,1253662.45,0.9783,direct,,2024-01-02 22:00:00
1704222000,0.9814,0.9704,0.9783,1140550.92,1111050.65,0.9735,direct,,2024-01-02 23:00:00
1704225600,0.9798,0.9638,0.9735,1115369.03,1083172.49,0.965,direct,,2024-01-03 00:00:00
1704229200,0.9753,0.9625,0.965,731982.75,709717.96,0.9753,direct,,2024-01-03 01:00:00
1704232800,0.9784,0.9686,0.9753,446263.61,434660.63,0.9732,direct,,2024-01-03 02:00:00
1704236400,0.9734,0.966,0.9732,313913.66,304472.28,0.9696,direct,,2024-01-03 03:00:00
1704240000,0.9765,0.966,0.9696,640279.45,622511.55,0.9747,direct,,2024-01-03 04:00:00
1704243600,0.9847,0.9737,0.9747,495300.47,485284.3,0.9846,direct,,2024-01-03 05:00:00
1704247200,0.9873,0.9778,0.9846,846667.47,831709.16,0.9792,direct,,2024-01-03 06:00:00
1704250800,0.9796,0.9756,0.9792,366592.15,358139.63,0.9782,direct,,2024-01-03 07:00:00
1704254400,0.9844,0.9766,0.9782,599586.95,587520.26,0.9795,direct,,2024-01-03 08:00:00
1704258000,0.9864,0.9794,0.9795,439582.29,432395.03,0.9835,direct,,2024-01-03 09:00:00
1704261600,0.9892,0.9811,0.9835,441570.62,435129.55,0.9854,direct,,2024-01-03 10:00:00
1704265200,0.9873,0.9743,0.9854,305893.83,300437.26,0.9768,direct,,2024-01-03 11:00:00
1704268800,0.9814,0.9767,0.9768,747689.27,732502.88,0.9813,direct,,2024-01-03 12:00:00
1704272400,0.9875,0.9786,0.9813,1069768.65,1050591.52,0.9794,direct,,2024-01-03 13:00:00
1704276000,0.9837,0.9739,0.9794,1454766.56,1421433.22,0.9752,direct,,2024-01-03 14:00:00
1704279600,0.9766,0.9198,0.9752,3830077.24,3625663.93,0.9409,direct,,2024-01-03 15:00:00
1704283200,0.9411,0.7898,0.9409,14031033.73,12091539.02,0.8864,direct,,2024-01-03 16:00:00
1704286800,0.8873,0.8594,0.8864,4240741.24,3703222.84,0.8686,direct,,2024-01-03 17:00:00
1704290400,0.8694,0.8264,0.8686,14416469.97,12147286.86,0.8361,direct,,2024-01-03 18:00:00
1704294000,0.8689,0.8349,0.8361,5084205.95,4319918.24,0.8684,direct,,2024-01-03 19:00:00
1704297600,0.8727,0.8598,0.8684,3226212.32,2794931.72,0.8647,direct,,2024-01-03 20:00:00
