time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timeUTC
1704052800,104.87,103.47,103.73,66191.84,6906388.29,104.74,direct,,2024-01-01 00:00:00
1704056400,104.99,103.65,104.74,69701.24,7274528.16,103.85,direct,,2024-01-01 01:00:00
1704060000,103.88,100.1,103.85,141296.1,14407507.43,100.55,direct,,2024-01-01 02:00:00
1704063600,101.73,99.88,100.55,132343.09,13346407.03,101.73,direct,,2024-01-01 03:00:00
1704067200,102.75,101.56,101.73,96236.93,9834708.84,101.96,direct,,2024-01-01 04:00:00
1704070800,104.67,101.55,101.96,92555.7,9564771.92,104.09,direct,,2024-01-01 05:00:00
1704074400,104.23,103.22,104.09,50121.94,5199088.22,103.68,direct,,2024-01-01 06:00:00
1704078000,103.9,102.54,103.68,66021.18,6804378.08,103.06,direct,,2024-01-01 07:00:00
1704081600,103.96,101.59,103.06,56449.26,5783446.65,102.56,direct,,2024-01-01 08:00:00
1704085200,102.79,101.48,102.56,38377.23,3917187.21,101.64,direct,,2024-01-01 09:00:00
1704088800,102.5,101.55,101.64,37596.32,3837221.01,102.38,direct,,2024-01-01 10:00:00
1704092400,103.23,101.94,102.38,45435.48,4658113.73,102.48,direct,,2024-01-01 11:00:00
1704096000,102.95,101.96,102.48,19342.24,1981595.73,102.49,direct,,2024-01-01 12:00:00
1704099600,104.25,101.82,102.49,53367.4,5518656.41,104.0,direct,,2024-01-01 13:00:00
1704103200,104.82,103.91,104.0,38330.08,3998916.17,104.13,direct,,2024-01-01 14:00:00
1704106800,104.58,103.74,104.13,52071.63,5420123.2,104.33,direct,,2024-01-01 15:00:00
1704110400,106.01,103.92,104.33,73403.16,7690703.86,104.75,direct,,2024-01-01 16:00:00
1704114000,105.8,104.44,104.75,55489.82,5846729.78,105.4,direct,,2024-01-01 17:00:00
1704117600,105.4,104.34,105.4,51091.46,5348134.01,104.41,direct,,2024-01-01 18:00:00
1704121200,106.38,104.32,104.41,72431.51,7634927.93,106.01,direct,,2024-01-01 19:00:00
1704124800,108.39,105.93,106.01,137247.82,14737583.68,106.64,direct,,2024-01-01 20:00:00
1704128400,107.25,106.19,106.64,65088.7,6941244.23,107.13,direct,,2024-01-01 21:00:00
1704132000,108.48,107.12,107.13,136553.56,14744596.17,107.9,direct,,2024-01-01 22:00:00
1704135600,109.14,107.49,107.9,126248.31,13710243.62,108.85,direct,,2024-01-01 23:00:00
1704139200,109.5,107.7,108.85,124069.53,13501297.65,107.96,direct,,2024-01-02 00:00:00
1704142800,108.33,107.52,107.96,57034.72,6153074.16,108.04,direct,,2024-01-02 01:00:00
1704146400,108.15,107.27,108.04,60045.51,6468888.74,108.12,direct,,2024-01-02 02:00:00
1704150000,110.25,108.12,108.12,148743.12,16244590.33,110.02,direct,,2024-01-02 03:00:00
