time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timeUTC
1704052800,0.6206,0.6175,0.6204,3040530.14,1882517.03,0.6181,direct,,2024-01-01 00:00:00
1704056400,0.6205,0.6179,0.6181,1601038.42,991834.28,0.619,direct,,2024-01-01 01:00:00
1704060000,0.6191,0.6082,0.619,6651001.16,4079883.57,0.6119,direct,,2024-01-01 02:00:00
1704063600,0.6153,0.6109,0.6119,3683057.34,2258597.47,0.6153,direct,,2024-01-01 03:00:00
1704067200,0.6169,0.6147,0.6153,1973988.22,1215906.53,0.616,direct,,2024-01-01 04:00:00
1704070800,0.6187,0.615,0.616,2635945.72,1626703.07,0.6183,direct,,2024-01-01 05:00:00
1704074400,0.6184,0.6149,0.6183,1585591.57,977612.52,0.6153,direct,,2024-01-01 06:00:00
1704078000,0.6156,0.6114,0.6153,2055712.69,1260834.3,0.6129,direct,,2024-01-01 07:00:00
1704081600,0.6134,0.6095,0.6129,5285610.0,3225502.53,0.6115,direct,,2024-01-01 08:00:00
1704085200,0.6122,0.6084,0.6115,2468612.25,1506372.94,0.6085,direct,,2024-01-01 09:00:00
1704088800,0.6129,0.6085,0.6085,1755070.52,1071143.5,0.6126,direct,,2024-01-01 10:00:00
1704092400,0.6152,0.6125,0.6126,1310960.18,805047.75,0.6149,direct,,2024-01-01 11:00:00
1704096000,0.6161,0.6142,0.6149,1193906.89,734644.99,0.6159,direct,,2024-01-01 12:00:00
1704099600,0.6174,0.6151,0.6159,770299.07,474801.08,0.6173,direct,,2024-01-01 13:00:00
1704103200,0.6188,0.6173,0.6173,966137.56,596895.06,0.6187,direct,,2024-01-01 14:00:00
1704106800,0.6203,0.6177,0.6187,1416971.94,876505.43,0.6203,direct,,2024-01-01 15:00:00
1704110400,0.6211,0.6192,0.6203,1584470.16,982774.95,0.6198,direct,,2024-01-01 16:00:00
1704114000,0.6215,0.6194,0.6198,1381753.12,857524.96,0.621,direct,,2024-01-01 17:00:00
