Category: All categories

Day,crypto: (Worldwide),Cryptocurrency: (Worldwide)
2024-09-01,18,27
2024-09-02,18,29
2024-09-03,19,29
2024-09-04,20,28
2024-09-05,19,28
2024-09-06,20,33
2024-09-07,18,27
2024-09-08,17,27
2024-09-09,18,27
2024-09-10,18,27
2024-09-11,17,27
2024-09-12,18,29
2024-09-13,19,29
2024-09-14,19,28
2024-09-15,18,27
2024-09-16,19,28
2024-09-17,20,31
2024-09-18,19,30
2024-09-19,21,32
2024-09-20,20,30
2024-09-21,19,31
2024-09-22,19,30
2024-09-23,22,32
2024-09-24,21,36
2024-09-25,21,33
2024-09-26,24,35
2024-09-27,22,36
2024-09-28,19,30
2024-09-29,20,32
2024-09-30,21,32
2024-10-01,21,32
2024-10-02,19,30
2024-10-03,19,29
2024-10-04,20,29
2024-10-05,18,27
2024-10-06,17,27
2024-10-07,18,30
2024-10-08,19,29
2024-10-09,19,29
2024-10-10,19,27
2024-10-11,19,28
2024-10-12,19,29
2024-10-13,19,31
2024-10-14,21,36
2024-10-15,21,32
2024-10-16,20,31
2024-10-17,21,31
2024-10-18,20,32
2024-10-19,19,29
2024-10-20,19,31
2024-10-21,21,34
2024-10-22,20,31
2024-10-23,20,31
2024-10-24,20,33
2024-10-25,20,31
2024-10-26,18,27
2024-10-27,18,27
2024-10-28,19,29
2024-10-29,24,36
2024-10-30,22,33
2024-10-31,21,31
2024-11-01,20,32
2024-11-02,19,29
2024-11-03,19,29
2024-11-04,24,35
2024-11-05,20,31
2024-11-06,32,51
2024-11-07,30,46
2024-11-08,29,44
2024-11-09,27,43
2024-11-10,40,64
2024-11-11,49,71
2024-11-12,57,84
2024-11-13,54,84
2024-11-14,46,71
2024-11-15,39,61
2024-11-16,43,66
2024-11-17,41,64
2024-11-18,44,65
2024-11-19,41,60
2024-11-20,42,62
2024-11-21,51,73
2024-11-22,55,78
2024-11-23,56,81
2024-11-24,49,75
2024-11-25,47,69
2024-11-26,43,63
2024-11-27,44,63
2024-11-28,38,59
2024-11-29,42,64
2024-11-30,47,68
2024-12-01,50,71
2024-12-02,58,85
2024-12-03,61,89
2024-12-04,60,84
2024-12-05,65,100
2024-12-06,58,85
2024-12-07,57,87
2024-12-08,55,80
2024-12-09,57,81
2024-12-10,54,78
2024-12-11,48,69
2024-12-12,47,69
2024-12-13,41,61
2024-12-14,40,61
2024-12-15,37,56
2024-12-16,42,62
2024-12-17,46,69
2024-12-18,43,63
2024-12-19,46,65
2024-12-20,52,73
2024-12-21,39,57
2024-12-22,39,52
2024-12-23,36,54
2024-12-24,37,53
2024-12-25,33,49
2024-12-26,33,51
2024-12-27,33,51
2024-12-28,33,50
2024-12-29,33,50
2024-12-30,32,49
2024-12-31,33,48
2025-01-01,35,52
2025-01-02,39,56
2025-01-03,38,54
2025-01-04,37,55
2025-01-05,36,52
2025-01-06,38,57
2025-01-07,39,60
2025-01-08,35,54
2025-01-09,35,50
2025-01-10,31,47
2025-01-11,30,46
2025-01-12,30,48
