model,task,metric,value,resampled
RandomForestRegressor,price_prediction,MSE,34.33155812891893,no
GradientBoostingRegressor,price_prediction,MSE,21.76937350128812,no
LinearRegression,price_prediction,MSE,3.3311711969799513,no
XGBRegressor,price_prediction,MSE,14.444681047039515,no
RandomForestClassifier,trend_prediction,Accuracy,0.9198113207547169,no
RandomForestClassifier,trend_prediction,F1-score,0.0,no
RandomForestClassifier,trend_prediction,Recall,0.0,no
RandomForestClassifier,trend_prediction,Accuracy,0.8836477987421384,yes
RandomForestClassifier,trend_prediction,F1-score,0.075,yes
RandomForestClassifier,trend_prediction,Recall,0.06521739130434782,yes
GradientBoostingClassifier,trend_prediction,Accuracy,0.8616352201257862,no
GradientBoostingClassifier,trend_prediction,F1-score,0.10204081632653061,no
GradientBoostingClassifier,trend_prediction,Recall,0.10869565217391304,no
GradientBoostingClassifier,trend_prediction,Accuracy,0.8113207547169812,yes
GradientBoostingClassifier,trend_prediction,F1-score,0.2,yes
GradientBoostingClassifier,trend_prediction,Recall,0.32608695652173914,yes
LogisticRegression,trend_prediction,Accuracy,0.7342767295597484,no
LogisticRegression,trend_prediction,F1-score,0.13333333333333333,no
LogisticRegression,trend_prediction,Recall,0.2826086956521739,no
LogisticRegression,trend_prediction,Accuracy,0.7264150943396226,yes
LogisticRegression,trend_prediction,F1-score,0.13,yes
LogisticRegression,trend_prediction,Recall,0.2826086956521739,yes
XGBClassifier,trend_prediction,Accuracy,0.9276729559748428,no
XGBClassifier,trend_prediction,F1-score,0.0,no
XGBClassifier,trend_prediction,Recall,0.0,no
XGBClassifier,trend_prediction,Accuracy,0.9040880503144654,yes
XGBClassifier,trend_prediction,F1-score,0.08955223880597014,yes
XGBClassifier,trend_prediction,Recall,0.06521739130434782,yes
BalancedRandomForestClassifier,trend_prediction,Accuracy,0.8034591194968553,no
BalancedRandomForestClassifier,trend_prediction,F1-score,0.1830065359477124,no
BalancedRandomForestClassifier,trend_prediction,Recall,0.30434782608695654,no
BalancedRandomForestClassifier,trend_prediction,Accuracy,0.8977987421383647,yes
BalancedRandomForestClassifier,trend_prediction,F1-score,0.08450704225352113,yes
BalancedRandomForestClassifier,trend_prediction,Recall,0.06521739130434782,yes
