iter	Passed	Remaining
0	3	1674
1	5	1511
2	7	1448
3	10	1462
4	13	1448
5	15	1424
6	18	1409
7	20	1401
8	23	1395
9	25	1394
10	28	1391
11	31	1391
12	33	1384
13	36	1388
14	38	1390
15	41	1394
16	44	1399
17	47	1406
18	50	1403
19	52	1400
20	55	1404
21	58	1401
22	61	1398
23	63	1392
24	66	1386
25	68	1378
26	70	1371
27	73	1365
28	75	1359
29	78	1357
30	81	1360
31	84	1364
32	87	1367
33	90	1368
34	92	1365
35	96	1373
36	99	1381
37	102	1385
38	105	1387
39	110	1406
40	113	1408
41	116	1408
42	119	1407
43	122	1404
44	124	1401
45	127	1399
46	130	1398
47	133	1394
48	136	1391
49	139	1391
50	142	1392
51	147	1412
52	152	1433
53	158	1451
54	163	1471
55	180	1589
56	187	1622
57	193	1638
58	196	1634
59	199	1626
60	202	1620
61	204	1612
62	207	1604
63	210	1597
64	213	1592
65	216	1586
66	219	1580
67	222	1577
68	225	1572
69	228	1565
70	231	1560
71	234	1556
72	237	1551
73	240	1546
74	243	1544
75	246	1539
76	249	1533
77	252	1527
78	255	1522
79	257	1515
80	260	1510
81	264	1507
82	267	1506
83	270	1502
84	273	1498
85	276	1493
86	279	1485
87	281	1479
88	284	1472
89	286	1466
90	289	1460
91	292	1454
92	294	1447
93	297	1441
94	299	1436
95	302	1429
96	304	1422
97	307	1417
98	310	1414
99	313	1412
100	316	1408
101	320	1405
102	322	1401
103	325	1396
104	328	1390
105	330	1386
106	333	1381
107	336	1375
108	338	1369
109	340	1362
110	343	1357
111	346	1353
112	348	1347
113	350	1342
114	353	1338
115	356	1333
116	358	1328
117	361	1323
118	364	1319
119	366	1314
120	369	1310
121	371	1304
122	374	1299
123	376	1293
124	378	1288
125	381	1283
126	383	1277
127	385	1272
128	388	1267
129	390	1262
130	393	1257
131	395	1253
132	398	1248
133	400	1243
134	403	1239
135	405	1234
136	407	1229
137	410	1225
138	413	1221
139	415	1216
140	417	1211
141	419	1206
142	422	1201
143	425	1198
144	427	1194
145	430	1190
146	432	1186
147	435	1181
148	437	1177
149	440	1174
150	442	1169
151	445	1165
152	447	1161
153	449	1157
154	452	1153
155	455	1149
156	457	1145
157	459	1140
158	461	1136
159	464	1131
160	466	1127
161	468	1122
162	471	1118
163	473	1114
164	475	1109
165	477	1105
166	480	1101
167	482	1097
168	484	1093
169	487	1089
170	489	1085
171	491	1081
172	494	1077
173	496	1072
174	498	1068
175	501	1064
176	503	1060
177	505	1056
178	508	1052
179	510	1049
180	513	1046
181	515	1042
182	517	1038
183	520	1034
184	522	1030
185	524	1027
186	527	1023
187	529	1019
188	531	1015
189	533	1011
190	536	1007
191	538	1003
192	540	1000
193	543	996
194	545	993
195	548	990
196	550	986
197	553	983
198	555	980
199	558	976
200	560	973
201	563	970
202	565	967
203	568	963
204	571	961
205	573	958
206	576	955
207	579	952
208	581	949
209	584	946
210	587	943
211	590	941
212	593	938
213	596	935
214	598	932
215	601	929
216	604	927
217	606	923
218	609	920
219	611	917
220	614	914
221	617	911
222	620	909
223	622	906
224	625	903
225	628	900
226	630	897
227	633	894
228	635	891
229	638	888
230	641	885
231	644	882
232	646	879
233	649	876
234	651	873
235	654	870
236	656	867
237	659	864
238	661	861
239	664	858
240	666	855
241	669	852
242	672	849
243	674	846
244	677	843
245	679	840
246	682	837
247	684	833
248	687	830
249	689	827
250	692	824
251	694	821
252	697	818
253	699	815
254	702	812
255	704	809
256	706	806
257	709	803
258	712	800
259	714	797
260	717	794
261	719	791
262	722	788
263	724	785
264	727	782
265	729	778
266	731	775
267	734	772
268	736	769
269	739	766
270	741	763
271	744	760
272	746	757
273	749	754
274	751	751
275	754	748
276	756	745
277	759	742
278	761	739
279	763	736
280	766	733
281	768	730
282	771	727
283	773	724
284	776	721
285	778	718
286	781	715
287	783	712
288	786	710
289	788	707
290	791	704
291	793	701
292	796	698
293	798	695
294	801	692
295	804	689
296	806	687
297	809	684
298	811	681
299	814	678
300	817	675
301	819	673
302	822	670
303	825	667
304	828	665
305	830	662
306	833	659
307	835	656
308	838	654
309	841	651
310	843	648
311	847	646
312	850	644
313	854	641
314	857	639
315	859	636
316	862	634
317	865	631
318	868	628
319	870	625
320	873	623
321	875	620
322	878	617
323	880	614
324	883	611
325	885	608
326	888	605
327	890	602
328	892	599
329	895	596
330	897	593
331	900	590
332	902	588
333	904	585
334	907	582
335	909	579
336	911	576
337	914	573
338	916	570
339	919	567
340	921	564
341	924	562
342	926	559
343	929	556
344	931	553
345	934	550
346	936	547
347	939	545
348	941	542
349	943	539
350	946	536
351	948	533
352	951	531
353	953	528
354	956	525
355	958	522
356	961	519
357	963	516
358	966	513
359	968	511
360	970	508
361	973	505
362	975	502
363	978	500
364	980	497
365	983	494
366	985	491
367	988	488
368	991	486
369	993	483
370	996	480
371	998	477
372	1001	475
373	1003	472
374	1006	469
375	1008	466
376	1011	464
377	1013	461
378	1016	458
379	1018	455
380	1021	453
381	1023	450
382	1026	447
383	1028	444
384	1031	442
385	1033	439
386	1036	436
387	1039	433
388	1041	431
389	1044	428
390	1047	425
391	1049	423
392	1052	420
393	1054	417
394	1056	414
395	1059	411
396	1061	409
397	1063	406
398	1065	403
399	1068	400
400	1070	397
401	1072	395
402	1075	392
403	1077	389
404	1079	386
405	1082	383
406	1084	381
407	1086	378
408	1089	375
409	1091	372
410	1093	369
411	1095	367
412	1098	364
413	1100	361
414	1102	358
415	1105	355
416	1107	353
417	1109	350
418	1112	347
419	1114	344
420	1116	342
421	1119	339
422	1121	336
423	1123	333
424	1125	331
425	1128	328
426	1130	325
427	1132	322
428	1135	320
429	1137	317
430	1139	314
431	1142	311
432	1144	309
433	1147	306
434	1150	304
435	1153	301
436	1156	299
437	1159	296
438	1161	293
439	1164	291
440	1166	288
441	1170	285
442	1173	283
443	1175	280
444	1177	277
445	1180	275
446	1182	272
447	1185	269
448	1187	267
449	1189	264
450	1192	261
451	1194	258
452	1196	256
453	1198	253
454	1201	250
455	1203	248
456	1205	245
457	1208	242
458	1210	240
459	1212	237
460	1215	234
461	1217	231
462	1219	229
463	1222	226
464	1225	223
465	1227	221
466	1229	218
467	1231	215
468	1234	213
469	1236	210
470	1238	207
471	1241	205
472	1243	202
473	1246	199
474	1249	197
475	1251	194
476	1253	191
477	1256	189
478	1259	186
479	1261	183
480	1263	181
481	1266	178
482	1269	176
483	1271	173
484	1274	170
485	1276	168
486	1278	165
487	1280	162
488	1283	160
489	1285	157
490	1287	154
491	1290	152
492	1292	149
493	1294	146
494	1297	144
495	1299	141
496	1301	138
497	1304	136
498	1306	133
499	1308	130
500	1311	128
501	1313	125
502	1316	123
503	1318	120
504	1321	117
505	1323	115
506	1325	112
507	1328	109
508	1331	107
509	1333	104
510	1336	101
511	1339	99
512	1341	96
513	1344	94
514	1346	91
515	1349	88
516	1352	86
517	1354	83
518	1357	81
519	1359	78
520	1362	75
521	1364	73
522	1366	70
523	1368	67
524	1371	65
525	1373	62
526	1375	60
527	1378	57
528	1380	54
529	1382	52
530	1384	49
531	1387	46
532	1389	44
533	1392	41
534	1394	39
535	1397	36
536	1399	33
537	1401	31
538	1404	28
539	1406	26
540	1408	23
541	1411	20
542	1413	18
543	1415	15
544	1417	13
545	1420	10
546	1422	7
547	1425	5
548	1427	2
549	1429	0
